Food,energy,protein,fat,carbs,fiber,calcium,iron,vitamin_c,folate,vitamin_a,vitamin_e,is_alcohol,is_leafy_green,vitamin_k_proxy
String Hoppers (Rice Flour),136,2.6,0.3,32.7,0.9,10,0.78,0,8.2,0,0,0,0,0
String Hoppers (Wheat Flour),143,3.7,0.6,32.8,0,39,0.79,0,6.5,0,0.2,0,0,0
String Hoppers (Rice & Wheat Flour),132.7139,3.3892999,0.44783998,29.369434,2.349544,9.4465237,1.1643161,0,6.7169929,0.067798801,0.077367999,0,0,0
Beef Kottu,246,7.3,17.2,16.6,1.618,42,1.73,4.1,13.7,200,0.4,0,0,0
Egg Kottu,172,5.7,7.1,22.9,1.9,66,1.65,2.5,18.3,170,0.4,0,0,0
Chicken Kottu,205.6761627,10.13679218,11.14574242,17.02129555,1.302634358,156.4949493,1.313417315,3.272261143,21.36367989,94.03885651,0.329658002,0,0,0
Idli (Millet),288.48639,12.151173,1.564721,54.321392,10.364388,244.70097,3.92396,0,25.244576,0.69816858,0.14137,0,0,0
Idli (Rice & Dal),301.2085,12.656596,1.243006,60.012241,5.1767478,38.46534,2.7557981,0,28.734274,0.62706554,0.083756998,0,0,0
Idli (Semolina),293.66541,14.088119,1.020926,55.036095,9.5409269,39.037693,3.3537521,0,22.485723,0.70749074,0.167265,0,0,0
"Pittu (Millet, With Coconut)",277,4.1,11.2,42.5,4.7,26,0.61,0.9,7.4,0,0.2,0,0,0
"Pittu (Rice, With Coconut)",149.772,2.709414,2.082864,32.030521,0.45128199,10.028502,0.82931203,0,6.0974498,0,0.018122001,0,0,0
"Pittu (Wheat, With Coconut)",144.2,4.241714,2.3216641,25.698343,5.0442019,9.268322,1.589492,0,8.0866537,0.132534,0.16936201,0,0,0
Uppuma (Tempered With Vegetables),174.164,4.8604593,4.2400651,28.364111,4.7573023,24.274937,1.758672,3.994596,17.456631,110.1483,0.173605,0,0,0
"Pittu (Rice, Without Coconut)",147.25259,2.83008,0.35376,35.420219,0,10.677799,0.84213001,0,6.1908002,0,0,0,0,0
"Pittu (Rice & Wheat, With Coconut)",149,3.5,2.1,30.8,1.4,9,0.79,0,8.3,0,0.1,0,0,0
"Pittu (Rice & Wheat, Without Coconut)",143.9962,3.72559,0.49331999,31.719555,2.6842041,10.233534,1.286396,0,7.3533349,0.077455796,0.088388003,0,0,0
Thalapa (Millet),119.14,2.6307001,0.65490001,24.956499,4.1292,155.03,1.7686,0,9.6865997,0.077330001,0.055500001,0,0,0
Butter,744,0.6,82.2,0.6,0,18,0,0,0,0,1.9,0,0,0
Dressing (French),335,0.3,32.2,11.7,0,0,0,0,0,0,0,0,0,0
Ghee,878,0.1,97.6,0,0,1,0,0,0,1233,0,0,0,0
Margarine,739,0.2,81.6,1,0,4,0.3,0,0,844,0,0,0,0
Yeast Extract,180,40.7,0.4,3.5,0,70,2.9,0,2620,0,0,0,0,0
Manila Tamarind,75,3.6,1.1,13.5,4.4,9,0.71,55.8,4.2,0,0.4,0,0,0
"Chili (Green, Fresh)",38,2.4,0.7,5.9,4.8,18,1.2,94.1,2.5,0,0.3,0,0,0
"Chili (Red, Dried)",237,12.69,6.4,29.46,31.15,99.83,6.23,0,51.5,0,0,0,0,0
"Chili (Red, Fresh)",38,2.4,0.7,5.9,4.8,18,1.2,94.1,2.5,0,0.3,0,0,0
Chili (Fried),313.20001,11.412,17.269001,25.857,28.052999,96.300003,4.8509998,0,29.502899,334.30499,1.062,0,0,0
"Ginger (Fresh, Grated)",44,1.8,0.8,8.1,0,16,0.6,5,11,0,0,0,0,0
Maldives Fish (Dry),303,61.32,6.26,0,0,51.12,3.44,0,352,0,0,0,0,0
Chicken Gravy (With Coconut Milk),186.13269,11.586333,14.093225,3.0320685,0.54230189,100.34262,1.3582898,3.2629807,10.223163,3.4330037,0.34808937,0,0,0
Coconut Milk Gravy,292,2.9,27.9,7.5,0,24.3,2.2,2.1,20.7,6.8,0,0,0,0
Gravy Without Coconut Milk (Thin),5.9282999,0.238683,0.115198,0.92985499,0.55659997,6.6440639,0.29530901,2.1123111,2.6085937,7.6411109,0.027788,0,0,0
Gravy Without Coconut Milk (Thick),10.9283,0.41448301,0.144798,1.911255,0.84060001,8.2229643,0.343409,2.9427712,5.3889136,9.1821604,0.033087999,0,0,0
Tomato Sauce,89,2.5,5.1,8.7,1.7,27,0.82,9,19.5,172,1.2,0,0,0
"Gravy (Coconut Milk, Thin)",256.73489,2.5453432,24.428389,6.484479,0.36795598,20.416855,1.87353,4.0157208,15.427805,5.1079431,0.024040999,0,0,0
"Gravy (Coconut Milk,Thick)",339.62851,3.338927,32.381237,8.4664869,0.40838802,25.991119,2.4149201,4.8531733,20.104162,5.1101928,0.024800999,0,0,0
Fish Gravy,230,13.4,6.6,31.4,7.3,91,4.11,0.9,55.7,143,0.2,0,0,0
