Food,energy,protein,fat,carbs,fiber,calcium,iron,vitamin_c,folate,vitamin_a,vitamin_e,is_alcohol,is_leafy_green,vitamin_k_proxy
"Sea Fish (Large, Nfs, Fresh, Boiled)",86.897667,14.786497,1.4743705,3.9197609,1.854828,74.2061,2.10936,2.9348452,96.633423,20.207815,0.051893998,0,0,0
"Avelemeen (Mullet), Fresh, Boiled, With Coconut Milk",153.06285,11.387767,10.213167,4.0925612,1.266714,58.22419,2.0041482,2.9839594,73.938698,15.012181,0.034991998,0,0,0
"Fish (Large, Nfs, Dried, With Coconut Milk)",188.18414,19.145929,10.667101,4.0925612,1.266714,41.388454,1.8269626,2.9839594,59.405399,15.012181,0.034991998,0,0,0
"Fish (Large, Nfs, Dried, Fried)",365.9469,52.577297,17.534277,0,0,67.832298,2.5863459,0,148.35886,0,0,0,0,0
"Fish (Large, Nfs, Fresh, Tempered, With Coconut Milk)",180.42563,10.428298,13.543042,4.3735299,1.41794,53.758873,2.099596,5.1112847,68.27877,24.780399,0.047375999,0,0,0
"Fish (Large, Nfs, Fresh, Tempered)",170.64497,13.794909,9.8448734,6.8315539,3.0341311,75.218613,2.2318375,12.555714,94.115349,43.757439,0.094162002,0,0,0
"Fish (Large, Nfs, Fresh, Fried)",216.81952,21.396095,14.757527,0,0,85.732971,2.2636003,0,139.09146,0,0,0,0,0
"Fish (Large, Nfs, Fresh, Cook Method Nfs)",160.63315,14.35137,9.9684992,3.6170714,1.4971792,68.990486,2.106704,4.7859273,94.851692,20.999569,0.045799401,0,0,0
"Fish (Nfs, Dried, Fried)",346.92615,44.762211,18.658144,0,0,116.01985,2.4910097,0,252.09946,0,0,0,0,0
"Fish (Nfs, Dried, With Coconut Milk)",185.41251,17.245665,11.124495,4.0925612,1.266714,59.446934,1.8351485,2.9839594,98.328438,15.012181,0.034991998,0,0,0
"Fish (Nfs, Dried, Cook Method Nfs)",266.16934,31.003939,14.891319,2.0462806,0.63335699,87.733887,2.163094,1.4919797,175.21396,7.5060906,0.017495999,0,0,0
"Fish (Nfs, Fresh, Boiled)",91.516418,14.497057,2.0904799,3.9197609,1.854828,72.161377,1.9119283,2.9348452,79.824036,20.207815,0.051893998,0,0,0
"Fish (Nfs, Fresh, Fried)",223.90546,20.952044,15.702744,0,0,82.596024,1.9607064,0,113.303,0,0,0,0,0
"Fish (Nfs, Fresh, Tempered)",174.64532,13.544222,10.378491,6.8315539,3.0341311,73.447662,2.0608399,12.555714,79.556587,43.757439,0.094162002,0,0,0
"Fish (Nfs, Fresh, With Coconut Milk)",156.34171,11.182292,10.650544,4.0925612,1.266714,56.77264,1.8639909,2.9839594,62.005676,15.012181,0.034991998,0,0,0
"Fish (Nfs, Fresh, Tempered, With Coconut Milk)",183.38176,10.243048,13.937369,4.3735299,1.41794,52.450195,1.9732341,5.1112847,57.52029,24.780399,0.047375999,0,0,0
"Fish (Nfs, Fresh, Cook Method Nfs)",165.02129,14.076381,10.553845,3.6170714,1.4971792,66.940788,1.9156289,4.6611028,78.196678,20.997522,0.045799401,0,0,0
"Fish (Small, Nfs, Fresh, Boiled)",105.23145,13.637585,3.9199686,3.9197609,1.854828,66.089745,1.3256698,2.9348452,29.909868,20.207815,0.051893998,0,0,0
"Fish (Small, Nfs, Fresh, Fried)",244.94666,19.633469,18.509491,0,0,73.281105,1.0612862,0,36.726173,0,0,0,0,0
"Fish (Small, Nfs, Dried, Mallum, Tempered, With Scraped Coconut)",227.66682,28.352234,10.644944,4.206244,3.3039961,105.93135,2.4963915,4.4428282,202.80351,14.465297,0.1451,0,0,0
"Fish (Small, Nfs, Fresh, With Coconut Milk)",166.07803,10.572151,11.949303,4.0925612,1.266714,52.462372,1.4478047,2.9839594,26.571491,15.012181,0.034991998,0,0,0
"Fish (Small, Nfs, Fresh, Cook Method Nfs)",172.09203,14.614378,11.459613,2.6722817,1.0415961,63.900482,1.2764018,1.9008124,30.877748,11.669244,0.028995,0,0,0
"Clams (Fresh, Tempered, With Coconut Milk)",149,11.3,9.5,4.8,1.335,66,5.94,5.6,5.8,84,0.1,0,0,0
Crab (Boiled),128,19.5,5.5,0,0,0,1.6,0,20,0,0,0,0,0
Crab (Tempered),83.695503,7.923645,5.094871,1.564873,1.046944,170.15363,0.74069101,2.6063035,7.0307074,16.797201,0.026907001,0,0,0
"Crab (Tempered, With Coconut Milk)",180.6749,9.6044359,13.94131,4.2170329,1.36043,197.24657,1.93294,2.5019805,12.798814,16.195127,0.062613003,0,0,0
"Cuttle Fish (Fresh, With Coconut Milk)",156,9.7,11.3,4.2,1.1,49,2.75,1.9,10.2,44,0.1,0,0,0
"Squid (Fresh, Tempered)",125.6987,10.534639,7.0861163,4.9405079,2.1786671,26.592243,1.039767,3.3445077,18.569864,16.233606,0.076757997,0,0,0
"Cuttlefish (Fresh, Tempered, With Coconut Milk)",174.46431,8.9593611,13.458135,4.3735299,1.41794,24.604971,1.278144,5.1112847,15.621469,24.780399,0.047375999,0,0,0
"Squid (Fresh, Tempered, With Coconut Milk)",244.0847,10.716239,19.731516,5.875608,1.487067,31.967543,1.903367,3.2081776,19.071743,16.195127,0.063758001,0,0,0
"Kunissa Shrimp (Fresh, Tempered)",225.86389,12.588754,15.32516,8.9233294,3.2072918,51.852383,1.1377699,15.64043,31.001633,53.132305,0.087438002,0,0,0
"Kunissa Shrimp (Fresh, Tempered, With Coconut Milk)",140,10.6,9.4,3.4,1.5,42,1.16,5.7,998.5,54,2.1,0,0,0
"Lobster (Fresh, Tempered)",94.666527,9.4653082,5.1821351,1.564873,1.046944,40.925339,0.435267,2.6063035,874.98462,16.797201,0.27900299,0,0,0
"Prawn (Fresh, Tempered)",225.86389,12.588754,15.32516,8.9233294,3.2072918,51.852383,1.1377699,15.64043,31.001633,53.132305,0.087438002,0,0,0
"Prawn (Fresh, Tempered, With Coconut Milk)",140,10.6,9.4,3.4,1.5,42,1.16,5.7,998.5,54,2.1,0,0,0
"Prawn (Fresh, Boiled, With Coconut Milk)",101,10.3,5.2,3.6,1.404,64,1.02,5.4,11,80,1.9,0,0,0
"Prawn & Potato (Boiled, With Coconut Milk)",110.377,4.781486,5.2371812,10.851427,2.242636,29.976891,1.464241,11.078192,15.084487,16.420748,0.089505002,0,0,0
"Banana (Cavendish, Ripe)",97,1.2,0.3,23.6,1.9,5,0.28,4.8,16.8,0,0.1,0,0,0
"Banana (Kolikuttu, Ripe)",93,1.4,0.2,22.9,0,45,1.71,14.1,0,0,0,0,0,0
"Banana (Poovan, Ripe)",97,1.5,0.3,23.4,2.3,9,0.35,6.7,20,10,0.1,0,0,0
Red Banana (Ripe),112,1.29,0.29,25.21,1.98,9.56,0.24,6.74,18.92,0,0,0,0,0
Seeni/Kathali Banana (Ripe),106,1.4,0.2,26.5,0,59,3.63,16.7,0,0,0,0,0,0
Sour Banana (Ripe),57,1.2,0.1,13.5,0,52,2.29,17.9,0,0,0,0,0,0
Grapefruit,33,0.69,0.1,8.41,1.1,12,0.06,33.3,0,2,0,0,0,0
Mandarin,53,0.81,0.31,13.3,1.8,37,0.15,26.7,16,34,0,0,0,0
Orange,37,1.1,0.1,8.5,0,47,0.1,54,31,4.7,0,0,0,0
Pummelo,46,0.7,0.4,10.6,0.8,14,0.06,48.9,13.4,0,0.5,0,0,0
Sweet Lemon,53.7,1,0.9,11.1,0,70,0.26,39,0,0,0,0,0,0
Fruit Salad,59,0.7,0.3,14.3,0,12,0.16,24,0,0,0,0,0,0
Fruit Salad (With Added Sugar),72.360001,0.6552,0.39360002,16.3384,2.4575999,8.9247999,0.278,29.527201,28.471199,85.610405,0.1752,0,0,0
"Guava (Pink Flesh, Raw)",41,1.2,0.3,9.1,7.4,14,0.4,222,32.2,0,0.1,0,0,0
"Guava (White Flesh, Raw)",28,1.4,0.3,5.1,8.6,19,0.32,214,29.8,50,0.1,0,0,0
"Jackfruit (Ripe, Raw)",65,2.7,0.2,14,3.6,35,0.36,6.7,32.2,0,0.1,0,0,0
"Pineapple (Ripe, Raw)",39,0.5,0.2,9.4,3.5,11,0.28,36.4,18.2,5,0.4,0,0,0
"Musk Melon (Ripe, Raw)",21,0.4,0.3,4.2,1.5,10,0.18,22.8,22.3,0,0,0,0,0
Sweet Melon,17,0.3,0.2,3.5,0,32,1.4,26,0,0,0,0,0,0
Water Melon,18.3,0.6,0.16,3.9,0,5.3,0.2,13.3,5.9,605,0,0,0,0
Mango (Green),43,0.7,0.1,10.6,3,27,0.4,90.2,25.9,0,0.9,0,0,0
Mango (Semi-Ripe),40.5,0.6,0.35,9.4,2.45,21.5,0.455,61.6,43,97.5,0.6,0,0,0
Mango (Ripe),38,0.5,0.6,8.2,1.9,16,0.51,33,43,195,0.3,0,0,0
"Coconut Kernel (Dried, Unsweetened)",628,7.3,63.3,8,15.2,32,3.13,0,24.3,0,6.1,0,0,0
"Coconut Kernel (Green, Fresh)",411,3.8,41.4,6.3,10.4,8,1.3,0.8,25.4,0,2.7,0,0,0
"Coconut Kernel (Mature, Fresh)",411,3.8,41.4,6.3,10.4,8,1.3,0.8,25.4,0,2.7,0,0,0
Dates (Fresh),144,1.2,0.4,33.8,0,22,0.3,14,25,3,0,0,0,0
Dates (Dried),285,2.4,0.3,72.7,9.1,66,4.79,3.8,12.8,0,0,0,0,0
"Palmyra Fruit (Jelly Seeds, Raw)",31,0.6,0.1,6.9,0.3,43,0.5,4,0,0,0,0,0,0
"Coconut Kernel (Mature, Fresh, Sweetened)",501,2.88,35.5,47.7,4.5,15,1.92,0.7,8,0,0.39,0,0,0
Papaya (Green),21,0.5,0.2,4.4,2.3,23,0.2,20.7,29.8,0,0.1,0,0,0
Papaya (Ripe),20,0.4,0.2,4.6,2.8,15,0.23,43.1,60.9,116,0,0,0,0
"Grapes (Black, Seeded)",56,0.8,0.3,13.2,1.4,11,0.22,18.3,8.7,0,0.1,0,0,0
Grapes (Flesh Only),60,0.4,0.1,15.4,0,13,0.3,3,2,2.8,0,0,0,0
Raisins,281,2.6,0.3,71.3,3.9,73,6.81,2,38.3,0,0,0,0,0
Ambarella (Raw),37,0.73,0.44,7.46,4.67,20.7,0.7,35.51,44.49,3.36,0.43,0,0,0
Apple (Raw),58,0.3,0.5,13.9,2.1,5,0.25,4,3.5,0,0.1,0,0,0
"Avocado (Fresh, Raw)",143,3,13.9,1.8,6.7,28,0.81,9.4,67.2,2,0,0,0,0
Cashew Apple (Raw),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custard Apple (Raw),89,1.6,0.7,20.4,5.1,28,0.42,21.5,7.6,0,0.2,0,0,0
Mangosteen (Raw),47,0.6,0.2,11.4,1.9,5,0.28,26.3,13.5,0,0.1,0,0,0
Passion Fruit (Raw),51,0.9,0.1,12.4,0,10,2,25,0,9,0,0,0,0
Pomegranate (Raw),50,1.3,0.2,11.6,2.8,11,0.31,12.7,38.6,0,0,0,0,0
Rambutan (Raw),67,0.7,0.2,16.8,1,9,0.37,65,7.3,0,0.1,0,0,0
Soursop (Raw),62.14,0.74,0.94,11.94,4.95,10,0.29,59.54,6.09,0,0.06,0,0,0
Ceylon Olive (Fresh),145,1.03,15.32,3.84,3.3,52,0.49,0,3,20,0,0,0,0
Dan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelli (Raw),54.3,0.5,0.1,13.7,0,50,1.2,600,0,1.5,0,0,0,0
Ramontchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rose Apple,36.5,0.7,0.2,8.5,0,10,0.5,3,0,0,0,0,0,0
Wood Apple,73,3.1,3.6,7.5,5.2,56,0.45,22.2,6.5,0,0.1,0,0,0
Chick Peas (Boiled),145,9.7,2.4,22.5,6.1,73,2.51,0,81.6,5,1.3,0,0,0
Chick Peas (Boiled & Tempered),173.2595062,8.102856636,5.252151966,22.42178345,4.813622952,30.93433952,1.790923953,2.761360407,71.20597839,2.400935173,0.29261899,0,0,0
"Chick Peas (Boiled, With Coconut Milk)",175.8802948,6.961248875,8.995635986,15.89795113,8.750461578,86.98451996,2.506868362,6.213227749,55.21491623,33.28407288,0.542358994,0,0,0
"Chick Peas (Boiled & Tempered, With Coconut Milk)",215.3688,7.4230752,12.57994,17.190855,9.2248077,83.922699,3.3702836,2.4469323,56.78405,14.081141,0.61269802,0,0,0
Chick Peas (Salad),167.1572876,10.38610077,2.893427134,23.57131958,14.45419693,197.3493652,2.720099688,4.024041176,57.20906448,19.60059357,0.895417988,0,0,0
"Chick Peas And Eggplant (Boiled & Tempered, With Coconut Milk)",193.1234,7.1822343,10.78095,15.936284,9.0211515,74.521614,2.5508678,1.9911611,57.998123,13.91298,0.55681902,0,0,0
"Chick Peas (Boiled, With Scraped Coconut & Sugar)",216.5723877,10.19696426,7.407123089,26.13928795,14.66397858,75.39173126,2.735293627,0,53.06000137,11.98678493,0.910995007,0,0,0
"Cowpeas (Whole, Boiled)",158,10.8,0.6,29.1,6.1,44,3.16,0,123.1,1,0.4,0,0,0
"Cowpeas (Whole, Boiled & Tempered)",173.2595062,8.102856636,5.252151966,22.42178345,4.813622952,30.93433952,1.69558692,2.761360407,55.43204498,2.400935173,0.29261899,0,0,0
"Cowpeas (Whole, Boiled, With Coconut Milk)",241,13.9,4.7,38.2,8.4,67,4.48,2.5,152.5,37,0.5,0,0,0
"Cowpeas (Whole, Boiled & Tempered, With Coconut Milk)",225.756,7.929451,11.304261,22.147497,4.5927649,59.333275,2.9715126,2.4469323,52.35326,6.4738159,0.31406599,0,0,0
"Pigeon Peas (Split, Boiled & Tempered)",160.4712524,7.556764126,5.351220131,19.71021271,3.392471075,23.99644661,1.238535047,1.898029923,26.20785522,1.714379191,0.072639003,0,0,0
"Pigeon Peas (Split, Boiled & Tempered, With Coconut Milk)",212.4091,6.472188,12.987708,16.736752,2.715404,12.416238,44.827549,0,0.075974405,24.986414,3.7421486,0,0,0
Kidney Beans (Boiled & Tempered),138.7570038,7.690844059,5.297588348,15.97943687,0.355558991,32.52494049,1.992735028,2.836589813,31.00121498,2.317739248,0.183254987,0,0,0
"Kidney Beans (Boiled, With Coconut Milk)",158,10.3,3.9,21.8,10.9,55,3.36,3,60.3,31,0.3,0,0,0
"Kidney Beans (Boiled & Tempered, With Coconut Milk)",207,10.3,9.3,21.8,10.9,55,3.35,3,60.4,30,0.3,0,0,0
"Black Gram (Split, Boiled & Tempered)",157.8634033,7.801460266,5.394796371,18.49678802,4.347791195,16.40919495,1.615635037,1.898029923,21.81975174,2.221201658,0.065935001,0,0,0
"Black Gram (Split, Boiled, With Coconut Milk)",167.2641,6.6546879,8.2202082,15.831752,3.4279039,39.1688,1.7964001,3.7421486,21.713665,8.3368397,0.063330002,0,0,0
"Black Gram (Split, Boiled & Tempered, With Coconut Milk)",210.4641,6.6546879,13.020208,15.831752,3.4279039,39.1688,1.7964001,3.7421486,21.713665,8.3368397,0.063330002,0,0,0
"Black Gram (Whole, Boiled)",97.660522,7.3643441,0.529616,14.745448,6.8414321,14.142088,26.091784,0,0.133242,29.195921,0,0,0,0
"Black Gram (Whole, Boiled & Tempered)",215.9193268,12.81832314,5.735946178,26.30349731,12.02272606,46.73707199,3.134781361,2.761360407,52.45569611,2.068122387,0.142408013,0,0,0
"Black Gram (Whole, Boiled, With Coconut Milk)",159.35159,6.5396876,8.192708,13.926752,5.5529041,48.0788,1.9809,3.7421486,29.211414,7.9588399,0.078330003,0,0,0
Green Gram Sprouts (Boiled),25,2.5,0.5,2.8,4.9,19,2.2,2,17,8,0,0,0,0
"Green Gram (Split, Boiled)",109.2752,7.8436799,0.46592799,17.869513,3.254792,11.167841,1.1082796,0,16.496616,5.7439871,0.083800003,0,0,0
"Green Gram (Split, Boiled & Tempered)",158.8690033,8.12660408,5.294236183,19.06662941,3.610351086,14.08324146,1.232501388,1.898029923,21.32516479,7.796247959,0.092751004,0,0,0
"Green Gram (Split, Boiled, With Coconut Milk)",168.0141,6.8971877,8.1452084,16.256752,2.8779039,37.434052,1.51065,3.7421486,21.34479,12.49484,0.083329998,0,0,0
"Green Gram (Split, Boiled & Tempered, With Coconut Milk)",211.2141,6.8971877,12.945209,16.256752,2.8779039,37.434052,1.51065,3.7421486,21.34479,12.49484,0.083329998,0,0,0
"Green Gram (Whole, Boiled)",92,7.6,0.4,15.5,5.7,31,1.65,0,48.8,8,0.1,0,0,0
"Green Gram (Whole, Boiled & Tempered)",186,11.4,5.5,24.3,9.2,50,2.55,0.6,76.1,17,0.2,0,0,0
"Green Gram (Whole, Boiled, With Coconut Milk)",177,7.6,9.5,16.4,5.5,34,1.66,0.7,45.4,21,0.1,0,0,0
"Green Gram (Whole, Boiled & Tempered, With Coconut Milk)",217.4239044,9.000017166,10.86361885,20.11394882,6.864501953,72.2194519,1.993404508,3.783575535,32.26168823,14.44518566,0.159814999,0,0,0
"Red Lentils (Split, Boiled)",110.87746,7.27384,0.52291203,18.513096,3.036912,20.530312,1.113978,0,20.81592,0,0.063688003,0,0,0
"Red Lentils (Split, Boiled & Tempered)",160.4712524,7.556764126,5.351220131,19.71021271,3.392471075,23.99644661,1.238535047,1.898029923,26.20785522,1.714379191,0.072639003,0,0,0
"Red Lentils (Split, Boiled, With Coconut Milk)",137,6.8,5.8,15.5,3.1,19,1.97,1.9,15.9,8,0.1,0,0,0
"Red Lentils (Split, Boiled & Tempered, With Coconut Milk)",193,8,10.3,18.3,3.6,20,2.45,1.2,18,15,0.1,0,0,0
"Red Lentils And Dried Fish (Boiled, With Coconut Milk)",161,13.7,5.7,14.5,2.9,34,2.13,2,17.4,14,0.4,0,0,0
"Red Lentils And Raddish (Boiled, With Coconut Milk)",228.8473969,8.173618317,12.47094536,20.2860527,3.810487986,43.88467789,2.960192919,6.407472134,21.38082504,4.359745979,0.068231001,0,0,0
"Red Lentils And Snake Gourd (Boiled, With Coconut Milk)",197,9.4,9,20.9,4.2,23,2.76,0.6,20.4,12,0.1,0,0,0
"Red Lentils And Spinach (Boiled, With Coconut Milk)",191,11.7,5.4,25.5,5.5,41,3.89,5.3,55.7,96,0.4,0,1,300
"Red Lentils And Potato (Boiled, With Coconut Milk)",247.9866,9.5714693,12.517781,23.470432,4.1002679,40.679451,3.3717089,3.4035168,21.322456,4.416986,0.081319004,0,0,0
Red Lentils And Potato (Boiled),124.035,7.4001937,0.342314,22.110947,3.8907549,16.811489,2.1629906,7.1382537,15.46814,0.80712104,0.076168001,0,0,0
"Red Lentils And Cabbage (Boiled, With Coconut Milk)",230.4644012,11.42618465,8.171309471,26.80552673,5.46844101,51.50196838,3.60534811,8.900445938,32.11174774,2.084395409,0.093149997,0,1,300
"Red Lentils And Leeks (Boiled, With Coconut Milk)",244.4874,9.4830179,12.505146,22.726852,4.182888,42.873257,3.3444929,4.1010723,21.844225,4.416986,0.077431001,0,0,0
Red Lentils And Potato (Boiled & Tempered),194.8349915,8.65007782,7.497983932,22.40568161,4.312652111,17.59747696,2.600406885,4.354705334,16.82320404,3.440408468,0.085081004,0,0,0
"Red Lentils And Carrots (Boiled, With Coconut Milk)",126.7548981,2.091125011,10.35217571,5.937624931,2.922093153,82.25848389,1.521610022,7.635403633,19.54072571,391.7966614,0.140937001,0,0,0
Sambaar,46,1.6,2.3,5.1,1.8,15,0.57,6.5,15.1,59,0.2,0,0,0
Sambaar (With Coconut Milk),192.8459,2.9497769,16.219677,8.3988495,1.818441,44.460125,1.562461,12.055849,21.411425,49.478004,0.077381,0,0,0
Cashews (With Coconut Milk),325,8.5,26.7,13.6,2.4,28,2.96,1,13.4,29,0.4,0,0,0
"Jack Fruit Seeds And Vegetable (Nfs, With Coconut Milk)",143.2397308,3.690796852,10.43182945,8.269203186,4.772016048,99.10800934,1.60033226,9.226873398,39.22044373,24.12059593,0.102913305,0,0,0
"Jack Fruit Seeds And Vegetable (Nfs, Tempered)",127.3512955,3.823427916,8.870390892,7.61826086,6.518497944,36.7298317,0.673453808,13.24593163,49.99983978,16.03080368,0.082246788,0,0,0
Soy Meat (Tempered),199.02921,20.510151,8.7702303,11.592509,5.7053642,141.02574,2.3382347,3.0799081,4.9951963,10.824453,0.049546,0,0,0
"Soy Meat (Tempered, With Coconut Milk)",210,11.6,13.9,10.1,2.298,60,2.69,2.1,9.6,27,0.1,0,0,0
"Soy Meat And Potato (Tempered, With Coconut Milk)",208.7142,13.333339,11.611342,13.737888,3.918587,106.88539,2.0985973,8.0987616,11.764048,7.561336,0.047775,0,0,0
"Soy Meat (Boiled, With Coconut Milk)",146,11.3,7.3,9.4,1.5,54,2.11,1.6,4,27,0,0,0,0
"Legume Mallum (Nfs, With Scraped Coconut)",217.2813263,12.53009319,7.228633404,24.77280617,7.17110014,27.48178101,3.036232233,0,21.98209381,0.8832587,0.249870434,0,0,0
"Legume Mallum (Nfs, Tempered, With Scraped Coconut)",274.8599243,11.96407795,14.35409927,23.74410057,6.656666756,26.19913864,2.881800413,0,20.79128647,0.84943682,0.230671316,0,0,0
"Legumes And Leafy Greens (Nfs, With Coconut Milk)",181.7062836,9.487352371,7.470448494,18.49509048,5.507285595,104.1650162,3.29744339,15.24610233,37.99980164,370.3963623,0.248769522,0,1,300
"Legumes And Vegetable (Nfs, Tempered)",163.0658875,9.392623901,5.262973309,18.87472916,6.245176792,35.13796997,2.492168665,7.243593216,45.76593781,13.99197006,0.174828559,0,0,0
"Legumes And Vegetable (Nfs, Tempered, With Coconut Milk)",243.5938263,7.775320053,16.21855736,16.11279297,4.176191807,47.47312546,2.558449984,4.299917698,32.14147949,10.82957077,0.129298121,0,0,0
"Legumes And Vegetable (Nfs, With Coconut Milk)",203.2975616,7.751879692,11.76556969,16.0850544,4.125256062,47.13588715,2.551018953,4.193703651,31.57051086,10.54722595,0.128329471,0,0,0
"Legumes And White Root/Tuber (Nfs, With Coconut Milk)",213.6461487,7.492612839,11.75051689,18.94931602,3.637251377,42.81030655,2.533285141,5.297367573,22.10919189,4.549303532,0.129205599,0,0,0
"Legumes (Nfs, And Dried Fish, Nfs, Tempered)",205.08199,15.670551,9.6190367,13.709994,4.0850639,47.674194,2.4841068,8.6681585,73.918213,27.262997,0.13027094,0,0,0
"Legumes (Nfs, And Dried Fish, Nfs, Light Tempered, With Coconut Milk)",201.37045,12.702579,10.481936,13.713758,2.9799318,36.620445,2.2857559,3.5046034,52.696575,2.4490306,0.09429311,0,0,0
"Duck Egg (Whole, Boiled)",181.644,14.6,13.83,0,0,52.459999,2.46,0,56.610001,0,2.47,0,0,0
"Egg (White Only, Boiled)",52,12.4,0.3,0,0,8,0.15,0,4.2,0,0,0,0,0
"Egg (Poultry, Whole, Boiled)",149,13.4,10.5,0,0,55,1.87,0,0,182,1.3,0,0,0
"Egg (Whole, Boiled & Tempered, With Coconut Milk)",144,6.1,12.2,2.6,0,34,1.32,2.6,10.7,127,0.6,0,0,0
"Egg (Whole, Pan-Fried)",179,13.6,13.9,0,0,65,2.2,0,40,190,1.1,0,0,0
"Egg (Whole, Omelet)",199,16.5,14.8,0,0,53,2.16,0,37.7,183,1.9,0,0,0
"Egg (Yolk Only, Boiled)",312,16.1,27.5,0,0,120,4.92,0,110,467,2.8,0,0,0
Beef (Tempered),146,12,8.1,5.7,1.1,10,1.55,38.6,29.1,29,0.4,0,0,0
Beef (Roast Or Baked),213.36,31.070551,9.9345751,0,0,0,5.7607198,0,0.21336,2.4449723,0,0,0,0
Beef (Cooked With Water),97.944901,13.070065,4.238555,1.836033,0.85503,77.211441,1.887601,1.5204256,3.949291,16.193647,0.27895299,0,0,0
"Beef Offals (Babath), Boiled And Fried",222.95088,17.065004,15.987584,2.5283999,1.613178,17.282066,1.8611712,0,202.75883,4.8573799,0.34359413,0,0,0
"Beef Offals (Babath), Boiled, With Coconut Milk",138,12.9,8.3,3.1,1.28,23,1.98,2.3,6.7,106,0.2,0,0,0
"Liver (Calf, Tempered)",178.78757,21.783152,8.5134249,3.5913889,1.973474,28.833454,19.10079,1.4118766,5.4229245,13.038739,0.70316225,0,0,0
Veal (Deep-Fried),313.0885925,22.310812,23.72730637,2.528399944,1.613178015,21.03766823,3.575105906,0,2.528939724,4.857379913,0.509360015,0,0,0
"Beef (Boiled, With Coconut Milk)",223.20889,15.584135,17.04241,1.836033,0.85503,77.729362,2.14764,1.5204256,4.0950642,16.193647,0.32211298,0,0,0
"Beef (Tempered, With Coconut Milk)",187.3078003,15.22170353,12.46599865,3.434812069,1.237185001,88.5202179,2.034845114,2.414354086,7.37520504,17.97132301,0.291274011,0,0,0
"Beef And Vegetable (Nfs, Light Tempered, With Coconut Milk)",132.5374603,9.991214752,8.102972031,4.65024519,3.252089739,100.5686722,2.09272337,6.001820564,27.8414135,28.49456596,0.24871324,0,0,0
"Venison (Deer Meat), Tempered",133.4563,18.778418,6.020349,1.025844,0.493714,33.866924,3.0097821,7.6146488,1.9840857,8.2461243,0.030779999,0,0,0
"Game Meat (Nfs, Tempered)",159.2385406,13.63659954,10.17633438,3.06932807,1.232617021,86.97073364,1.863908052,6.790707111,6.666642666,15.61944103,0.359263986,0,0,0
"Game Meat (Nfs, Tempered, With Coconut Milk)",197.7628479,14.36135864,13.70445061,3.984812021,1.237185001,97.18637085,1.959909081,7.246714115,8.648880005,17.97132301,0.339466006,0,0,0
"Game Meat (Nfs, With Coconut Milk)",149.9428406,14.1313591,8.744450569,3.434812069,1.237185001,95.58637238,1.799908996,7.022713661,7.368879795,17.97132301,0.339466006,0,0,0
Goat Meat (Tempered),143,17.3,7.7,1.1,0.56,15,1.97,1.5,3.5,21,0.2,0,0,0
Sheep Meat (Tempered),146.4116211,15.27855682,8.978563309,1.025843978,0.493714005,36.35015869,2.126484156,1.239903927,2.923214912,8.246124268,0.11411,0,0,0
Goat Meat (Tempered & Boiled),161.6945038,17.22886086,9.861896515,0.861999035,0.421905994,35.65383911,1.458037972,1.239903927,2.960155964,8.220515251,0.128779992,0,0,0
Pork (Tempered),105,11.9,4.5,3.8,0.8,10,0.79,14.5,10.8,11,0.1,0,0,0
"Pork (Tempered, With Coconut Milk)",187.9102,12.528975,13.700918,3.4348121,1.237185,89.58287,1.058957,2.3439615,9.9801464,17.970791,0.11657801,0,0,0
"Pork (Boiled, With Coconut Milk)",90.268898,9.8040352,4.9427099,1.5498329,0.77522999,77.483765,0.96351004,1.3441906,5.2776537,16.189207,0.115613,0,0,0
"Sausages (Beef, Grilled)",278,13.3,19.5,13.1,0.8,80,1.4,0,7,0,0.7,0,0,0
"Sausages (Low Fat, Grilled)",212.6447449,18.15045929,14.80083656,0.453761488,0,15.59201717,0.734224737,1.11026752,1.448174953,9.413137436,0.125508502,0,0,0
Chicken Giblets (Tempered),120.1065979,15.31875229,6.341222763,0.517425001,0.171407998,5.420742989,2.693912029,1.22150147,6.269272327,0.4052248,0.529537022,0,0,0
Chicken Gizzards (Tempered),136.4415,16.836697,7.2457328,1.037064,0.66927397,11.496055,5.6953583,1.2418674,170.76416,8.2461243,0.59608901,0,0,0
Chicken Meat With Bone (Deep-Fried),307.0046082,18.56464577,25.09938049,1.668400049,1.064477921,20.96029663,1.833059311,0,7.083724022,3.205209732,0.386348009,0,0,0
Chicken Meat With Bone (Tempered),170,18.5,10.2,1.1,0.6,20,1.1,1.4,11,25,0.3,0,0,0
"Chicken Meat With Bone (Tempered, With Coconut Milk)",200,18.1,12.9,3,1.3,29,1.54,2.6,11.4,46,0.3,0,0,0
Chicken Meat With Bone (With Coconut Milk),156,14.2,9.8,3.1,1.3,28,1.32,2.3,9.7,109,0.2,0,0,0
"Chicken Meat (Bones Removed, Boiled, Plain)",187.9600067,22.72500038,10.45919991,0.726999998,0.662199974,19.71183968,1.184620023,0,8.427160263,3.140000105,0.396599978,0,0,0
"Chicken Meat (Bones Removed, Cooked With Water)",161.2088,18.857018,8.6045609,2.025167,0.721183,40.827736,1.197724,1.6081327,12.463428,8.315258,0.33278799,0,0,0
